,X,Y,Z,R,Phi,ar,Vcirc
0,-21.555555,-4.2222223,0.0,21.96518,3.33502,-6.338267195785847e-14,207.2767594568448
1,-21.555555,-3.7777777,0.0,21.884094,3.3150885,-6.246608411703491e-14,205.39240955524514
2,-21.555555,-3.3333333,0.0,21.811766,3.2950168,-6.368780954304363e-14,207.0482330571253
3,-21.555555,-2.8888888,0.0,21.74828,3.2748196,-6.3995031248519e-14,207.24475216016012
4,-21.555555,-2.4444444,0.0,21.693716,3.2545125,-6.406008159654691e-14,207.08978646162356
5,-21.555555,-2.0,0.0,21.64814,3.2341115,-6.436435817260619e-14,207.36286079569047
6,-21.555555,-1.5555556,0.0,21.61161,3.2136328,-6.42736807437804e-14,207.04183660275902
7,-21.555555,-1.1111112,0.0,21.584173,3.1930935,-6.499210447674405e-14,208.06353336638796
8,-21.555555,-0.6666667,0.0,21.565863,3.1725109,-6.480089727537614e-14,207.66910351231311
9,-21.555555,-0.22222222,0.0,21.556702,3.1519017,-6.497922034076087e-14,207.91047208708883
10,-21.555555,0.22222222,0.0,21.556702,3.1312838,-6.584978350627659e-14,209.29858499548163
11,-21.555555,0.6666667,0.0,21.565863,3.1106746,-6.511408607783453e-14,208.17034071918627
12,-21.555555,1.1111112,0.0,21.584173,3.090092,-6.490314806222509e-14,207.9210935753903
13,-21.555555,1.5555556,0.0,21.61161,3.0695527,-6.510152266185387e-14,208.37091512919096
14,-21.555555,2.0,0.0,21.64814,3.049074,-6.503688312852178e-14,208.44338352360361
15,-21.555555,2.4444444,0.0,21.693716,3.028673,-6.502607985300613e-14,208.6453561719662
16,-21.555555,2.8888888,0.0,21.74828,3.0083659,-6.46548197639525e-14,208.31035888466303
17,-21.555555,3.3333333,0.0,21.811766,2.9881687,-6.437344152853597e-14,208.15973987352
18,-21.555555,3.7777777,0.0,21.884094,2.968097,-6.476998612475835e-14,209.14580162636426
19,-21.555555,4.2222223,0.0,21.96518,2.9481654,-6.378306772377367e-14,207.93042455133764
20,-21.11111,-6.0,0.0,21.947187,3.4185016,-7.314404543896088e-14,222.57525794458954
21,-21.11111,-5.5555553,0.0,21.82987,3.3989165,-6.340578873497028e-14,206.6750219693731
22,-21.11111,-5.111111,0.0,21.721014,3.3791275,-6.386919884968198e-14,206.91107788642765
23,-21.11111,-4.6666665,0.0,21.620749,3.359147,-6.41916609308724e-14,206.95343064022873
24,-21.11111,-4.2222223,0.0,21.529194,3.3389883,-6.404612245827286e-14,206.28054299854625
25,-21.11111,-3.7777777,0.0,21.446459,3.318666,-6.542448087521462e-14,208.08745563901363
26,-21.11111,-3.3333333,0.0,21.372648,3.2981946,-6.51140867115581e-14,207.23571633712737
27,-21.11111,-2.8888888,0.0,21.307856,3.2775903,-6.54918097565055e-14,207.5206548569345
28,-21.11111,-2.4444444,0.0,21.252161,3.2568688,-6.641686425900994e-14,208.70780639722113
29,-21.11111,-2.0,0.0,21.205637,3.2360477,-6.58832736533027e-14,207.6400894696904
30,-21.11111,-1.5555556,0.0,21.168343,3.2151442,-6.642101452131428e-14,208.3023363225692
31,-21.11111,-1.1111112,0.0,21.140331,3.194176,-6.66725377601154e-14,208.55823753167027
32,-21.11111,-0.6666667,0.0,21.121635,3.1731613,-6.698807686782548e-14,208.95871410816667
33,-21.11111,-0.22222222,0.0,21.11228,3.1521187,-6.748474158212404e-14,209.685462988987
