,X,Y,Z,R,Phi,ar,Vcirc
0,-21.778894,-2.9849246,0.0,21.982494,3.2778,-6.120635095329198e-14,203.76739345519036
1,-21.778894,-2.763819,0.0,21.953564,3.2678216,-6.139799169385758e-14,203.95180728094581
2,-21.778894,-2.5427136,0.0,21.926825,3.257818,-6.137867545595633e-14,203.7954989627604
3,-21.778894,-2.321608,0.0,21.902285,3.2477908,-6.146569725687382e-14,203.8257628050324
4,-21.778894,-2.1005025,0.0,21.879953,3.2377422,-6.153842048514691e-14,203.84230873516685
5,-21.778894,-1.879397,0.0,21.859835,3.227674,-6.162853814386409e-14,203.89770167515434
6,-21.778894,-1.6582915,0.0,21.841936,3.2175884,-6.170472157844918e-14,203.94014587403285
7,-21.778894,-1.4371859,0.0,21.826263,3.207487,-6.176612767626606e-14,203.96837905045658
8,-21.778894,-1.2160804,0.0,21.81282,3.1973724,-6.184970653903098e-14,204.04346719926116
9,-21.778894,-0.99497485,0.0,21.80161,3.1872463,-6.196244861620225e-14,204.17686884484442
10,-21.778894,-0.77386934,0.0,21.792639,3.177111,-6.2123740493625e-14,204.4003661636866
11,-21.778894,-0.5527638,0.0,21.785908,3.166968,-6.225163510106697e-14,204.57905705496503
12,-21.778894,-0.3316583,0.0,21.78142,3.15682,-6.233479722746923e-14,204.6945730614006
13,-21.778894,-0.110552765,0.0,21.779175,3.146669,-6.242168022603056e-14,204.82662001473702
14,-21.778894,0.110552765,0.0,21.779175,3.1365166,-6.266218340754576e-14,205.22082676452573
15,-21.778894,0.3316583,0.0,21.78142,3.1263654,-6.270300718052272e-14,205.29824554464633
16,-21.778894,0.5527638,0.0,21.785908,3.1162174,-6.250971224668363e-14,205.0026810426341
17,-21.778894,0.77386934,0.0,21.792639,3.1060746,-6.251261088289863e-14,205.0391014559414
18,-21.778894,0.99497485,0.0,21.80161,3.0959392,-6.253546481149433e-14,205.11878938180087
19,-21.778894,1.2160804,0.0,21.81282,3.085813,-6.251441183672593e-14,205.13697533450727
20,-21.778894,1.4371859,0.0,21.826263,3.0756984,-6.245364242755052e-14,205.10041699073233
21,-21.778894,1.6582915,0.0,21.841936,3.065597,-6.238855027893532e-14,205.06709259541037
22,-21.778894,1.879397,0.0,21.859835,3.0555115,-6.234030903066967e-14,205.07176663901987
23,-21.778894,2.1005025,0.0,21.879953,3.0454433,-6.231041605756453e-14,205.11691812218976
24,-21.778894,2.321608,0.0,21.902285,3.0353947,-6.231447550004837e-14,205.2282500535383
25,-21.778894,2.5427136,0.0,21.926825,3.0253675,-6.230731905568399e-14,205.3313981177934
26,-21.778894,2.763819,0.0,21.953564,3.015364,-6.230841886741634e-14,205.45837107641148
27,-21.778894,2.9849246,0.0,21.982494,3.0053854,-6.226913082580367e-14,205.5288763340371
28,-21.557789,-4.311558,0.0,21.984716,3.3389883,-6.081158904255113e-14,203.11947755054996
29,-21.557789,-4.090452,0.0,21.942427,3.3291073,-6.095373982314177e-14,203.1610586767511
30,-21.557789,-3.8693466,0.0,21.902285,3.319189,-6.113944953139952e-14,203.28410974832227
31,-21.557789,-3.6482413,0.0,21.864307,3.3092353,-6.133018284923417e-14,203.4243574967759
32,-21.557789,-3.4271357,0.0,21.828503,3.299248,-6.145133743938444e-14,203.45838999763254
33,-21.557789,-3.2060301,0.0,21.794882,3.2892287,-6.159385178491428e-14,203.53724974961278
34,-21.557789,-2.9849246,0.0,21.763456,3.2791796,-6.190370720638814e-14,203.90140779775862
35,-21.557789,-2.763819,0.0,21.734234,3.2691023,-6.217507763559533e-14,204.21060727424012
36,-21.557789,-2.5427136,0.0,21.707226,3.258999,-6.238564853361947e-14,204.42898383105648
37,-21.557789,-2.321608,0.0,21.682438,3.2488718,-6.26727917946888e-14,204.78188529448747
38,-21.557789,-2.1005025,0.0,21.65988,3.238722,-6.248122895371189e-14,204.3622908602647
39,-21.557789,-1.879397,0.0,21.639557,3.2285523,-6.255574622407466e-14,204.38816621171034
40,-21.557789,-1.6582915,0.0,21.621475,3.2183647,-6.265934382936565e-14,204.471857974722
41,-21.557789,-1.4371859,0.0,21.605642,3.2081609,-6.273028313736841e-14,204.5126498096554
42,-21.557789,-1.2160804,0.0,21.592062,3.1979434,-6.281427905657239e-14,204.58519854611802
43,-21.557789,-0.99497485,0.0,21.580738,3.1877139,-6.291477794205053e-14,204.6950976838245
44,-21.557789,-0.77386934,0.0,21.571674,3.1774747,-6.308871507837508e-14,204.9348082327757
45,-21.557789,-0.5527638,0.0,21.564875,3.1672282,-6.3295895577725e-14,205.23867604418064
46,-21.557789,-0.3316583,0.0,21.56034,3.1569762,-6.347281072123102e-14,205.50369619604993
47,-21.557789,-0.110552765,0.0,21.558073,3.146721,-6.344255642771607e-14,205.44390800178334
48,-21.557789,0.110552765,0.0,21.558073,3.1364646,-6.355139255054704e-14,205.62005267753656
